Month,DNI,Cloud Type,Dew Point,Solar Zenith Angle,Wind Speed,Relative Humidity,Temperature,Pressure
1,0,1,-17,109.4,0.9,74.68,-14,930
1,0,1,-17,114.49,0.9,73.77,-14,930
1,0,1,-17,119.63,0.8,73.8,-14,930
1,0,7,-17,124.78,0.7,79.54,-15,930
1,0,7,-17,129.89,0.6,79.55,-15,930
1,0,1,-17,134.89,0.6,79.65,-15,930
1,0,7,-17,139.71,0.5,79.67,-15,930
1,0,1,-17,144.22,0.5,86.33,-15,930
1,0,1,-17,148.27,0.5,86.34,-15,930
1,0,7,-17,151.63,0.5,85.65,-16,930
1,0,7,-17,153.99,0.6,85.66,-16,930
1,0,7,-18,155.06,0.7,83.59,-16,930
1,0,7,-18,154.68,0.9,83.6,-16,930
1,0,8,-18,152.9,1.1,87.6,-17,930
